Name,Year,Sex,Sport,NOC,Medal
Yevgeny Sergeyevich Voronov,2012,M,Basketball,RUS,1
Carolin Leonhardt,2012,F,Canoeing,GER,1
Carol Huynh,2012,F,Wrestling,CAN,1
Carmen Dolores Martn Berenguer,2012,F,Handball,ESP,1
Carmelo Kyan Anthony,2012,M,Basketball,USA,1
Yevgeny Vladimirovich Kuznetsov,2012,M,Diving,RUS,1
Carmelita Jeter,2012,F,Athletics,USA,3
Yevgeny Yevgenyevich Korotyshkin,2012,M,Swimming,RUS,1
Carmelina Moscato,2012,F,Football,CAN,1
Chad Guy Bertrand le Clos,2012,M,Swimming,RSA,2
Carlos Mario Oquendo Zabala,2012,M,Cycling,COL,1
Yevgeniya Olegovna Kanayeva,2012,F,Rhythmic Gymnastics,RUS,1
Chanatip Sonkham,2012,F,Taekwondo,THA,1
Chen Ying,2012,F,Shooting,CHN,1
Chen Yibing,2012,M,Gymnastics,CHN,2
Chen Xiaojun,2012,F,Synchronized Swimming,CHN,1
Chen Ruolin,2012,F,Diving,CHN,2
Chen Long,2012,M,Badminton,CHN,1
Chen Ding,2012,M,Athletics,CHN,1
Chelsea Blaine Stewart,2012,F,Football,CAN,1
Chay Crista Kerio Cullen,2012,F,Hockey,GBR,1
Charlotte Susan Jane Dujardin,2012,F,Equestrianism,GBR,2
Charlotte Bonnet,2012,F,Swimming,FRA,1
Charline Van Snick,2012,F,Judo,BEL,1
"Charles Benedict ""Ben"" Ainslie",2012,M,Sailing,GBR,1
"Charles ""Charlie"" Houchin",2012,M,Swimming,USA,1
"Charles ""Charlie"" Cole",2012,M,Rowing,USA,1
Yelyzaveta Viktorivna Bryzhina,2012,F,Athletics,UKR,1
Chantal Achterberg,2012,F,Rowing,NED,1
Chang Si,2012,F,Synchronized Swimming,CHN,1
Yevgeniya Nikolayevna Kolodko,2012,F,Athletics,RUS,1
Antoine Valois-Fortier,2012,M,Judo,CAN,1
Yi Siling,2012,F,Shooting,CHN,1
Carlo Molfetta,2012,M,Taekwondo,ITA,1
Bryshon Lorenzo Nellum,2012,M,Athletics,USA,1
Bryan Coquard,2012,M,Cycling,FRA,1
Bruno Uvini Bortolana,2012,M,Football,BRA,1
Bruno Prada,2012,M,Sailing,BRA,1
"Bruno ""Bruninho"" Mossa de Rezende",2012,M,Volleyball,BRA,1
Bror Mikael Tobias Karlsson,2012,M,Handball,SWE,1
Brooke Pratley,2012,F,Rowing,AUS,1
Bronwen Knox,2012,F,Water Polo,AUS,1
Bronte Amelia Arnold Barratt,2012,F,Swimming,AUS,2
Brittney Davon Reese,2012,F,Athletics,USA,1
Brittany Joyce Elmslie,2012,F,Swimming,AUS,3
Brittany Broben,2012,F,Diving,AUS,1
Brittany Amanda Timko (-Baxter),2012,F,Football,CAN,1
Britta Oppelt,2012,F,Rowing,GER,1
Yu Dan,2012,F,Shooting,CHN,1
Britta Heidemann,2012,F,Fencing,GER,1
Brigitte Yage Enrique,2012,F,Taekwondo,ESP,1
Yoshie Ueno,2012,F,Judo,JPN,1
Carlos Arnoldo Salcido Flores,2012,M,Football,MEX,1
Yoshie Takeshita (-Egusa),2012,F,Volleyball,JPN,1
Caia Jaqueline van Maasakker,2012,F,Hockey,NED,1
Carline Bouw,2012,F,Rowing,NED,1
Carlien Clemens Dirkse van den Heuvel,2012,F,Hockey,NED,1
Carli Anne Lloyd (-Hollins),2012,F,Football,USA,1
Carla Rebecchi,2012,F,Hockey,ARG,1
Carl Rupert Hester,2012,M,Equestrianism,GBR,1
Yogeshwar Dutt,2012,M,Wrestling,IND,1
Yohan Blake,2012,M,Athletics,JAM,3
Carina Br,2012,F,Rowing,GER,1
Cao Zhongrong,2012,M,Modern Pentathlon,CHN,1
Cao Yuan,2012,M,Diving,CHN,1
Candace Nicole Parker (-Williams),2012,F,Basketball,USA,1
Candace Marie Margaret Chapman,2012,F,Football,CAN,1
Camille-Marie Manuella Muffat,2012,F,Swimming,FRA,3
Camilla Herrem,2012,F,Handball,NOR,1
Yolane Nicole Kukla,2012,F,Swimming,AUS,1
Cameron van der Burgh,2012,M,Swimming,RSA,1
Caitlin Leverenz,2012,F,Swimming,USA,1
Cai Yun,2012,M,Badminton,CHN,1
Anthony Osezua Ojo Ogogo,2012,M,Boxing,GBR,1
Anthony Oluwafemi Olaseni Joshua,2012,M,Boxing,GBR,1
Anthony Obame Mylann,2012,M,Taekwondo,GAB,1
Alexander Kristoff,2012,M,Cycling,NOR,1
"Alexander John ""Alex"" Gregory",2012,M,Rowing,GBR,1
"Alexander German ""Sander"" Baart",2012,M,Hockey,NED,1
Alex Sandro Lobo Silva,2012,M,Football,BRA,1
Alex Giorgetti,2012,M,Water Polo,ITA,1
Alessio Sartori,2012,M,Rowing,ITA,1
Alessandro Fei,2012,M,Volleyball,ITA,1
Aleksey Viktorovich Shved,2012,M,Basketball,RUS,1
Aleksey Igorevich Korovashkov,2012,M,Canoeing,RUS,1
Aleksey Alekseyevich Denisenko,2012,M,Taekwondo,RUS,1
ivko Goci,2012,M,Water Polo,SRB,1
Aleksey Aleksandrovich Obmochayev,2012,M,Volleyball,RUS,1
Aleksandras Kazakeviius,2012,M,Wrestling,LTU,1
Aleksandra Vyacheslavovna Patskevich,2012,F,Synchronized Swimming,RUS,1
Aleksandra Viktorovna Gerasimenya,2012,F,Swimming,BLR,2
Aleksandra Sergeyevna Narkevich,2012,F,Rhythmic Gymnastics,BLR,1
Aleksandr Vyacheslavovich Mikhaylin,2012,M,Judo,RUS,1
Alexander Mah Owens Drysdale,2012,M,Rowing,NZL,1
Aleksandr Viktorovich Bogdanovich,2012,M,Canoeing,BLR,1
"Alexander Matthew ""Alex"" Partridge",2012,M,Rowing,GBR,1
"Alexandra Mary L. ""Alex"" Danson",2012,F,Hockey,GBR,1
Aliya Farkhatovna Mustafina,2012,F,Gymnastics,RUS,4
Alistair Edward Brownlee,2012,M,Triathlon,GBR,1
Alison Conte Cerutti,2012,M,Beach Volleyball,BRA,1
"Zsuzsanna ""Susan"" Francia",2012,F,Rowing,USA,1
Alina Arturovna Tumilovich,2012,F,Rhythmic Gymnastics,BLR,1
Alina Andreyevna Makarenko,2012,F,Rhythmic Gymnastics,RUS,1
Alina Alexandra Dumitru (-Croitoru),2012,F,Judo,ROU,1
Zulfiya Salakharovna Chinshanlo,2012,F,Weightlifting,KAZ,1
Alin George Moldoveanu,2012,M,Shooting,ROU,1
Alicia McCormack,2012,F,Water Polo,AUS,1
Zuzana Hejnov,2012,F,Athletics,CZE,1
Zuzana tefeekov,2012,F,Shooting,SVK,1
Alicia Jayne Coutts,2012,F,Swimming,AUS,5
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",2012,M,Football,BRA,1
Alexandra Tsiavou,2012,F,Rowing,GRE,1
"Alexandra Rose ""Aly"" Raisman",2012,F,Gymnastics,USA,3
"Alexandra Patricia ""Alex"" Morgan",2012,F,Football,USA,1
dm Marosi,2012,M,Modern Pentathlon,HUN,1
Alla Anatolyevna Shishkina,2012,F,Synchronized Swimming,RUS,1
Aleksandr Sergeyevich Sokolov,2012,M,Volleyball,RUS,1
Aleksandr Nikolayevich Vinokurov,2012,M,Cycling,KAZ,1
Adriana dos Santos Arajo,2012,F,Boxing,BRA,1
Adrian Edward Zieliski,2012,M,Weightlifting,POL,1
Adla Skorov-Bruns,2012,F,Shooting,CZE,1
Adilbek Sabitovich Niyazymbetov,2012,M,Boxing,KAZ,1
Adenzia Aparecida Ferreira da Silva,2012,F,Volleyball,BRA,1
Ade Franci Alleyne-Forte,2012,M,Athletics,TTO,1
Adam Joseph Van Koeverden,2012,M,Canoeing,CAN,1
Ada Nabila Romn Arroyo,2012,F,Archery,MEX,1
"Abigail Louise ""Abby"" Johnston",2012,F,Diving,USA,1
Abel Kirui,2012,M,Athletics,KEN,1
Abel Kiprop Mutai,2012,M,Athletics,KEN,1
Abdullah Waleed Al-Sharbatly,2012,M,Equestrianism,KSA,1
Abby Bishop,2012,F,Basketball,AUS,1
va Csernoviczki,2012,F,Judo,HUN,1
Abbos Atayev,2012,M,Boxing,UZB,1
Aaron Gate,2012,M,Cycling,NZL,1
va Risztov,2012,F,Swimming,HUN,1
Adrienne Elizabeth  Martelli,2012,F,Rowing,USA,1
Aleksandr Olegovich Kaun,2012,M,Basketball,RUS,1
scar Albeyro Figueroa Mosquera,2012,M,Weightlifting,COL,1
ron Szilgyi,2012,M,Fencing,HUN,1
Aleksandr Konstantinovich Ivanov,2012,M,Weightlifting,RUS,1
Aleksandr Igorevich Dyachenko,2012,M,Canoeing,RUS,1
Aleksandr Anatolyevich Butko,2012,M,Volleyball,RUS,1
Aleksandr Aleksandrovich Volkov,2012,M,Volleyball,RUS,1
Aleksa aponji,2012,M,Water Polo,SRB,1
Alejandra Orozco Loza,2012,F,Diving,MEX,1
milie Gomis,2012,F,Basketball,FRA,1
Aldo Montano,2012,M,Fencing,ITA,1
Alba Mara Cabello Rodilla,2012,F,Synchronized Swimming,ESP,1
Alan Campbell,2012,M,Rowing,GBR,1
Alan Anatolyevich Khugayev,2012,M,Wrestling,RUS,1
Alain Andr Louis Edmond Bernard,2012,M,Swimming,FRA,1
Alaaeldin Ahmad El-Sayyid Abouelkassem,2012,M,Fencing,EGY,1
Akzhurek Dostykovich Tanatarov,2012,M,Wrestling,KAZ,1
rif rifov,2012,M,Wrestling,AZE,1
Aida Vladimirovna Shanayeva,2012,F,Fencing,RUS,1
Ai Otomo-Yamamoto,2012,F,Volleyball,JPN,1
Ai Fukuhara,2012,F,Table Tennis,JPN,1
Cheng Ming,2012,F,Archery,CHN,1
Zou Shiming,2012,M,Boxing,CHN,1
Zou Kai,2012,M,Gymnastics,CHN,3
Zhang Nan,2012,M,Badminton,CHN,1
Andro Bulje,2012,M,Water Polo,CRO,1
Andrija Zlati,2012,M,Shooting,SRB,1
Andrija Prlainovi,2012,M,Water Polo,SRB,1
Andrey Vladimirovich Grechin,2012,M,Swimming,RUS,1
Andrey Viktorovich Zamkovoy,2012,M,Boxing,RUS,1
Andrey Viktorovich Bogdanovich,2012,M,Canoeing,BLR,1
Andrey Gennadyevich Kirilenko,2012,M,Basketball,RUS,1
Zhang Yanquan,2012,M,Diving,CHN,1
Andrew James Simpson,2012,M,Sailing,GBR,1
Andrew Clifton Nicholson,2012,M,Equestrianism,NZL,1
"Andrew Barron ""Andy"" Murray",2012,M,Tennis,GBR,2
"Andrew ""Andy"" Triggs Hodge",2012,M,Rowing,GBR,1
Zhao Yunlei,2012,F,Badminton,CHN,2
Andreea Stefanescu,2012,F,Rhythmic Gymnastics,ITA,1
Andreas Tlzer,2012,M,Judo,GER,1
Andreas Oliver Nilsson,2012,M,Handball,SWE,1
Anela Bulatovi,2012,F,Handball,MNE,1
Zhou Lulu,2012,F,Weightlifting,CHN,1
Angel Lajuane McCoughtry,2012,F,Basketball,USA,1
Zhang Jike,2012,M,Table Tennis,CHN,2
Zara Anne Elizabeth Phillips (-Tindall),2012,F,Equestrianism,GBR,1
"Anthony Marshon Davis, Jr.",2012,M,Basketball,USA,1
Zaur Ismatulayevich Kuramagomedov,2012,M,Wrestling,RUS,1
Annika Elise Madsen Dries,2012,F,Water Polo,USA,1
Annette Edmondson,2012,F,Cycling,AUS,1
Annemiek Nicolien de Haan,2012,F,Rowing,NED,1
Annekatrin Thiele,2012,F,Rowing,GER,1
Anne-Caroline Graffe,2012,F,Taekwondo,FRA,1
Anne Schellekens,2012,F,Rowing,NED,1
Anna Vladimirovna Chicherova,2012,F,Athletics,RUS,1
Anna Rose Bebington-Watkins,2012,F,Rowing,GBR,1
Anna Maree Devenish Meares,2012,F,Cycling,AUS,2
Anna Espar Llaquet,2012,F,Water Polo,ESP,1
Anita Wodarczyk,2012,F,Athletics,POL,1
Zhang Chenglong,2012,M,Gymnastics,CHN,1
Angie Lee Bainbridge,2012,F,Swimming,AUS,1
"Angelo F. Taylor, Jr.",2012,M,Athletics,USA,1
Angela Pumariega Menndez,2012,F,Sailing,ESP,1
Allan Nrregaard Christensen,2012,M,Sailing,DEN,1
Andreas Kuffner,2012,M,Rowing,GER,1
Andrea Hlavkov,2012,F,Tennis,CZE,1
Anastasiya Ilyinichna Bliznyuk,2012,F,Rhythmic Gymnastics,RUS,1
Anastasiya Aleksandrovna Kapachinskaya,2012,F,Athletics,RUS,1
Ana oki,2012,F,Handball,MNE,1
Ana Radovi,2012,F,Handball,MNE,1
Ana Macarena Rodrguez Prez,2012,F,Hockey,ARG,1
Zoltn Kammerer,2012,M,Canoeing,HUN,1
An Kum-Ae,2012,F,Judo,PRK,1
Amy Joy Rodriguez (-Shilling),2012,F,Football,USA,1
Amy Elizabeth LePeilbet,2012,F,Football,USA,1
Amaurys Perez,2012,M,Water Polo,ITA,1
Amaury Raymond Leveaux,2012,M,Swimming,FRA,2
Amanda Maria Kurtovic,2012,F,Handball,NOR,1
Amanda Jo Weir (-Davis),2012,F,Swimming,USA,1
Alyssa Jean Anderson,2012,F,Swimming,USA,1
"Althea Kristina ""Tina"" Cook (Gifford-)",2012,F,Equestrianism,GBR,1
Allyson Michelle Felix,2012,F,Athletics,USA,3
Allison Rodgers Schmitt,2012,F,Swimming,USA,5
Zofia Noceti-Klepacka,2012,F,Sailing,POL,1
Andreas Ihle,2012,M,Canoeing,GER,1
Anastasiya Konstantinovna Nazarenko,2012,F,Rhythmic Gymnastics,RUS,1
Anastasiya Nikolayevna Grishina,2012,F,Gymnastics,RUS,1
Andrea Giovi,2012,M,Volleyball,ITA,1
Andrea Fuentes Fache,2012,F,Synchronized Swimming,ESP,2
Andrea Cassar,2012,M,Fencing,ITA,1
Andrea Blas Martnez,2012,F,Water Polo,ESP,1
Andrea Barno San Martn,2012,F,Handball,ESP,1
Andrea Bari,2012,M,Volleyball,ITA,1
Andrea Baldini,2012,M,Fencing,ITA,1
Andre Tyler Iguodala,2012,M,Basketball,USA,1
Andranne Morin,2012,F,Rowing,CAN,1
Andr Weels,2012,M,Fencing,GER,1
Anders Christian Golding,2012,M,Shooting,DEN,1
Anatolii Crcu,2012,M,Weightlifting,MDA,1
Anastasiya Vladimirovna Ivankova,2012,F,Rhythmic Gymnastics,BLR,1
Anastasiya Vladimirovna Baryshnikova,2012,F,Taekwondo,RUS,1
Anastasiya Valeryevna Zuyeva-Fesikova,2012,F,Swimming,RUS,1
Zlatko Horvat,2012,M,Handball,CRO,1
Anastasiya Semyonovna Davydova,2012,F,Synchronized Swimming,RUS,1
Anastasiya Mykolavna Kozhenkova,2012,F,Rowing,UKR,1
Guo Weiyang,2012,M,Gymnastics,CHN,1
Chloe Naomi Rogers,2012,F,Hockey,GBR,1
Choi Eun-Sook,2012,F,Fencing,KOR,1
Erik Mattias Andersson,2012,M,Handball,SWE,1
"Erik Kynard, Jr.",2012,M,Athletics,USA,1
Erick Bernab Barrondo Garca,2012,M,Athletics,GUA,1
Eric Lee Shanteau,2012,M,Swimming,USA,1
Eric Johannesen,2012,M,Rowing,GER,1
Eric Gsta Magnus Jernemyr,2012,M,Handball,SWE,1
Eric Gordon Murray,2012,M,Rowing,NZL,1
Will Crothers,2012,M,Rowing,CAN,1
Erba Tiki Gelana,2012,F,Athletics,ETH,1
Emmeline Ndongue,2012,F,Basketball,FRA,1
Emmanuel Earl Callender,2012,M,Athletics,TTO,1
William Accambray,2012,M,Handball,FRA,1
Emin hmdov,2012,M,Wrestling,AZE,1
Emily Maguire,2012,F,Hockey,GBR,1
Emily Jane Seebohm,2012,F,Swimming,AUS,3
Emilie-Joane Heymans,2012,F,Diving,CAN,1
Epke Jan Zonderland,2012,M,Gymnastics,NED,1
Erika Araki,2012,F,Volleyball,JPN,1
Erin Densham,2012,F,Triathlon,AUS,1
Erin Jane Cafaro (-McKenzie),2012,F,Rowing,USA,1
Westley Gough,2012,M,Cycling,NZL,1
Fehaid Al-Deehani,2012,M,Shooting,KUW,1
Fang Yuting,2012,F,Archery,CHN,1
Fabrizio Donato,2012,M,Athletics,ITA,1
Fabien Pierre Aurlien Dominique Gilot,2012,M,Swimming,FRA,1
Fabiana Marcelino Claudino,2012,F,Volleyball,BRA,1
"Fabiana ""Fabi"" Alvim de Oliveira",2012,F,Volleyball,BRA,1
Fabian Hambchen,2012,M,Gymnastics,GER,1
Ezekiel Kemboi Cheboi,2012,M,Athletics,KEN,1
Evi Van Acker,2012,F,Sailing,BEL,1
Evaldas Petrauskas,2012,M,Boxing,LTU,1
Eva Roma Maria de Goede,2012,F,Hockey,NED,1
Etienne Stott,2012,M,Canoeing,GBR,1
Esther Ruth  Lofgren,2012,F,Rowing,USA,1
Esquiva Falco Florentino,2012,M,Boxing,BRA,1
Eskild Balschmidt Ebbesen,2012,M,Rowing,DEN,1
Erin Katrina McLeod,2012,F,Football,CAN,1
Emilie Fer,2012,F,Canoeing,FRA,1
"William Bundu ""Will"" Claye",2012,M,Athletics,USA,2
Emanuele Birarelli,2012,M,Volleyball,ITA,1
Emanuel Fernando Scheffler Rego,2012,M,Beach Volleyball,BRA,1
"Edwin Johannes ""Edward"" Gal",2012,M,Equestrianism,NED,1
Edwige Lawson-Wade,2012,F,Basketball,FRA,1
"Edward Daniel ""Ed"" McKeever",2012,M,Canoeing,GBR,1
"Edward ""Eddie"" Ockenden",2012,M,Hockey,AUS,1
"Edward ""Ed"" Clancy",2012,M,Cycling,GBR,2
Edith Bosch,2012,F,Judo,NED,1
Dzhamal Sultanovich Otarsultanov,2012,M,Wrestling,RUS,1
Dvid Tth,2012,M,Canoeing,HUN,1
Duko Pijetlovi,2012,M,Water Polo,SRB,1
Duan Mandi,2012,M,Water Polo,SRB,1
William Lockwood,2012,M,Rowing,AUS,1
Drew Cameron Ginn,2012,M,Rowing,AUS,1
Drago Vukovi,2012,M,Handball,CRO,1
Dragan Travica,2012,M,Volleyball,ITA,1
Douglas Csima,2012,M,Rowing,CAN,1
"Dorothy Lee ""Dotsie"" Bausch (Cowden-)",2012,F,Cycling,USA,1
Dorothee Schneider (-Krumhoff),2012,F,Equestrianism,GER,1
Ehsan Haddadi,2012,M,Athletics,IRI,1
Felipe Eidji Kitadai,2012,M,Judo,BRA,1
Ehsan Lashgari,2012,M,Wrestling,IRI,1
Eko Yuli Irawan,2012,M,Weightlifting,INA,1
Emanuel Eduardo Pimenta Vieira da Silva,2012,M,Canoeing,POR,1
Elvira Ramilevna Khasyanova,2012,F,Synchronized Swimming,RUS,1
Elsie Windes,2012,F,Water Polo,USA,1
Elodie Godin,2012,F,Basketball,FRA,1
Ellen Marijn Hoog,2012,F,Hockey,NED,1
"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",2012,F,Cycling,GBR,1
Elizabeth Lyon Beisel,2012,F,Swimming,USA,2
"Elizabeth Louise ""Beth"" Storry",2012,F,Hockey,GBR,1
"Elizabeth Kimberly ""Beth"" Tweddle",2012,F,Gymnastics,GBR,1
"Elizabeth Folake ""Liz"" Cambage",2012,F,Basketball,AUS,1
"Elizabeth ""Betsey"" Armstrong",2012,F,Water Polo,USA,1
"Elisabeth ""Eli"" Pinedo Senz",2012,F,Handball,ESP,1
Elisa Santoni,2012,F,Rhythmic Gymnastics,ITA,1
Elisa Di Francisca,2012,F,Fencing,ITA,2
Elisa Blanchi,2012,F,Rhythmic Gymnastics,ITA,1
"Elina Elisabeth ""Lisa"" Nordn",2012,F,Triathlon,SWE,1
"Eleanor ""Elle"" Logan",2012,F,Rowing,USA,1
Eirik Vers Larsen,2012,M,Canoeing,NOR,1
Felipe Reyes Cabaas,2012,M,Basketball,ESP,1
Feng Tian Wei,2012,F,Table Tennis,SGP,2
Feng Zhe,2012,M,Gymnastics,CHN,2
Giorgi Gogshelidze,2012,M,Wrestling,GEO,1
Gillian Carleton,2012,F,Cycling,CAN,1
"Gilberto Amauri ""Giba"" de Godoy Filho",2012,M,Volleyball,BRA,1
Giacomo Pastorino,2012,M,Water Polo,ITA,1
Gi Seong-Yong,2012,M,Football,KOR,1
Ghasem Gholamreza Rezaei,2012,M,Wrestling,IRI,1
Germn Sal Snchez Snchez,2012,M,Diving,MEX,1
Germain Louis Marcel Chardin,2012,M,Rowing,FRA,1
Gerd Kanter,2012,M,Athletics,EST,1
Gerco Bernardus Schrder,2012,M,Equestrianism,NED,2
Geraint Howell Thomas,2012,M,Cycling,GBR,1
"Georgina Sophie ""Georgie"" Twigg",2012,F,Hockey,GBR,1
Georgia Gould,2012,F,Cycling,USA,1
George Christopher Nash,2012,M,Rowing,GBR,1
Gemma Jeanette Gibbons,2012,F,Judo,GBR,1
Gemma Beadsworth,2012,F,Water Polo,AUS,1
Gbor Hatos,2012,M,Wrestling,HUN,1
Giorgio Avola,2012,M,Fencing,ITA,1
Wang Hao,2012,F,Diving,CHN,1
Giovani dos Santos Ramrez,2012,M,Football,MEX,1
"Givanildo ""Hulk"" Vieira de Souza",2012,M,Football,BRA,1
Guillaume Joli,2012,M,Handball,FRA,1
Guillaume Alain Gille,2012,M,Handball,FRA,1
Gu Ja-Cheol,2012,M,Football,KOR,1
Gu Bon-Gil,2012,M,Fencing,KOR,1
Gril Snorroeggen,2012,F,Handball,NOR,1
Grgory Mallet,2012,M,Swimming,FRA,1
Grgory Benot Baug,2012,M,Cycling,FRA,2
"Gregory Mark Pascoe ""Greg"" Searle",2012,M,Rowing,GBR,1
Wallace Leandro de Souza,2012,M,Volleyball,BRA,1
"Gregory James ""Greg"" Rutherford",2012,M,Athletics,GBR,1
Gong Lijiao,2012,F,Athletics,CHN,1
Gong Jinjie,2012,F,Cycling,CHN,1
Gojko Pijetlovi,2012,M,Water Polo,SRB,1
Glenn Turner,2012,M,Hockey,AUS,1
Glenn Ochal,2012,M,Rowing,USA,1
Glenn O'Shea,2012,M,Cycling,AUS,1
Glencora Ralph,2012,F,Water Polo,AUS,1
Giovanni Cernogoraz,2012,M,Shooting,CRO,1
Dorian Denis Mortelette,2012,M,Rowing,FRA,1
Wang Hao,2012,M,Table Tennis,CHN,2
Gamze Bulut,2012,F,Athletics,TUR,1
Floris Maarten Alphons Maria Evers,2012,M,Hockey,NED,1
Wei Ning,2012,F,Shooting,CHN,1
Florin Gelu Zalomir,2012,M,Fencing,ROU,1
Florian Mennigen,2012,M,Rowing,GER,1
Florian Fuchs,2012,M,Hockey,GER,1
Florent Manaudou,2012,M,Swimming,FRA,1
Florencia Martina Habif,2012,F,Hockey,ARG,1
Florence Lepron,2012,F,Basketball,FRA,1
Flix Snchez Marcelo,2012,M,Athletics,DOM,1
Filip Kamil Adamski,2012,M,Rowing,GER,1
Filip Filipovi,2012,M,Water Polo,SRB,1
Fie Udby Erichsen,2012,F,Rowing,DEN,1
Fernando San Emeterio Lara,2012,M,Basketball,ESP,1
Fernando Ismael Fernandes Pimenta,2012,M,Canoeing,POR,1
Fernanda Garay Rodrigues,2012,F,Volleyball,BRA,1
"Fernanda ""Fernandinha"" Ferreira",2012,F,Volleyball,BRA,1
Fergus Kavanagh,2012,M,Hockey,AUS,1
Foluke Antinuke Akinradewo,2012,F,Volleyball,USA,1
Wang Jue Gu,2012,F,Table Tennis,SGP,1
Francena Lynette McCorory,2012,F,Athletics,USA,1
Frano Vian,2012,M,Water Polo,CRO,1
Galen Rupp,2012,M,Athletics,USA,1
Gagan Narang,2012,M,Shooting,IND,1
"Gabrielle Christina Victoria ""Gabby"" Douglas",2012,F,Gymnastics,USA,2
Gabriella Timea Szab,2012,F,Canoeing,HUN,1
Wang Mingjuan,2012,F,Weightlifting,CHN,1
Gabriel Vasconcellos Ferreira,2012,M,Football,BRA,1
"Gabriel ""Gabe"" Bergen",2012,M,Rowing,CAN,1
Fu Haifeng,2012,M,Badminton,CHN,1
Fredrik Raahauge Petersen,2012,M,Handball,SWE,1
Fredrik Max Emil Lf,2012,M,Sailing,SWE,1
"Frederike Johanna Maria ""Femke"" Heemskerk",2012,F,Swimming,NED,1
Wang Yihan,2012,F,Badminton,CHN,1
Wang Zhen,2012,M,Athletics,CHN,1
Wang Zhiwei,2012,M,Shooting,CHN,1
"Freddie William ""Fred"" Evans",2012,M,Boxing,GBR,1
Warren Antonio Weir,2012,M,Athletics,JAM,1
Franziska Weber,2012,F,Canoeing,GER,2
Francisco Javier Gmez Noya,2012,M,Triathlon,ESP,1
Dorian Benno Eric van Rijsselberge,2012,M,Sailing,NED,1
Dong Dong,2012,M,Trampolining,CHN,1
Domagoj Duvnjak,2012,M,Handball,CRO,1
Courtney Lynn Kaiulani  Mathewson,2012,F,Water Polo,USA,1
Courtney Lyn Hurley,2012,F,Fencing,USA,1
Corina Oana Cprioriu,2012,F,Judo,ROU,1
Yamaguchi Falco Florentino,2012,M,Boxing,BRA,1
Coralie Balmy,2012,F,Swimming,FRA,1
Constantine Michael Louloudis,2012,M,Rowing,GBR,1
Yana Mykhailivna Dementieva,2012,F,Rowing,UKR,1
Conor James Dwyer,2012,M,Swimming,USA,1
Yana Volodymyrivna Shemiakina,2012,F,Fencing,UKR,1
Yane Mrcia Campos da Fonseca Marques,2012,F,Modern Pentathlon,BRA,1
Yanet Bermoy Acosta,2012,F,Judo,CUB,1
Conlin McCabe,2012,M,Rowing,CAN,1
Yang Hak-Seon,2012,M,Gymnastics,KOR,1
Coleman Lewis Scott,2012,M,Wrestling,USA,1
Clment Lefert,2012,M,Swimming,FRA,2
Yang Kyong-Il,2012,M,Wrestling,PRK,1
Clmence Beikes,2012,F,Basketball,FRA,1
Courtney Lynn Thompson,2012,F,Volleyball,USA,1
Cline Sandrine Francine Goberville,2012,F,Shooting,FRA,1
Cristian Savani,2012,M,Volleyball,ITA,1
Csar Augusto Cielo Filho,2012,M,Swimming,BRA,1
Dan Anders Hkan Dahlby,2012,M,Shooting,SWE,1
Damir Martin,2012,M,Rowing,CRO,1
Damir Buri,2012,M,Water Polo,CRO,1
Damir Biani,2012,M,Handball,CRO,1
Damian Janikowski,2012,M,Wrestling,POL,1
Dalibor Doder,2012,M,Handball,SWE,1
Xu Anqi,2012,F,Fencing,CHN,1
Xu Chen,2012,M,Badminton,CHN,1
Xu Dongxiang,2012,F,Rowing,CHN,1
Dai Xiaoxiang,2012,M,Archery,CHN,1
Dai Jun,2012,M,Swimming,CHN,1
Xu Jing,2012,F,Archery,CHN,1
Xu Lijia,2012,F,Sailing,CHN,1
Xu Lili,2012,F,Judo,CHN,1
"Cynthia ""Janay"" DeLoach (-Soukup)",2012,F,Athletics,USA,1
Cullen Andrew Jones,2012,M,Swimming,USA,3
Ctlina Ponor,2012,F,Gymnastics,ROU,2
Cristina Iovu,2012,F,Weightlifting,MDA,1
Dana Whitney Vollmer (-Grant),2012,F,Swimming,USA,3
Cline Dumerc,2012,F,Basketball,FRA,1
Claudia Renate Belderbos,2012,F,Rowing,NED,1
Christine Ijeoma Chika Ohuruogu,2012,F,Athletics,GBR,1
Christine Girard,2012,F,Weightlifting,CAN,1
Yegor Leonidovich Mekhontsev,2012,M,Boxing,RUS,1
Christine Day,2012,F,Athletics,JAM,1
Christina Obergfll,2012,F,Athletics,GER,1
Christie Patricia Pearce-Rampone,2012,F,Football,USA,1
Christian Taylor,2012,M,Athletics,USA,1
Yekaterina Ivanovna Poistogova (Zavyalova-),2012,F,Athletics,RUS,1
Christian Presciutti,2012,M,Water Polo,ITA,1
Christian David Sprenger,2012,M,Swimming,AUS,2
Yelena Aleksandrovna Sokolova (Kremnyova-),2012,F,Athletics,RUS,1
Yelena Anatolyevna Lashmanova,2012,F,Athletics,RUS,1
Christa Deanne Harmotto-Dietzen,2012,F,Volleyball,USA,1
Choi Yeong-Rae,2012,M,Shooting,KOR,1
Choi In-Jeong,2012,F,Fencing,KOR,1
Yelena Gadzhiyevna Isinbayeva,2012,F,Athletics,RUS,1
Choi Hyeon-Ju,2012,F,Archery,KOR,1
Ye Shiwen,2012,F,Swimming,CHN,2
