Name,Year,Sex,Sport,NOC,Medal
Franois Antoine Vilamitjana (Caubet-),1900,M,Sailing,FRA,2
Thomas Truxtun Hare,1900,M,Athletics,USA,1
Carl Albert Andersen,1900,M,Athletics,NOR,1
Timothe Jordan,1900,M,Cricket,GBR,1
Maurice Auguste Raoul-Duval,1900,M,Polo,FRA,1
"Franois tienne ""Frantz"" Reichel",1900,M,Rugby,FRA,1
Philip Humphreys Tomalin,1900,M,Cricket,FRA,1
Camille mile Gaston Michelet,1900,M,Sailing,FRA,3
"Thomas William ""Bill"" Burgess",1900,M,Water Polo,GBR,1
"Frederick Graham ""Fred"" Moloney",1900,M,Athletics,USA,1
Louis Napolon Murat,1900,M,Equestrianism,FRA,1
Texier I,1900,M,Sailing,FRA,2
"Maxwell Warburn ""Maxey"" Long",1900,M,Athletics,USA,1
"Henri Louis Hrouin, Sr.",1900,M,Archery,FRA,2
Henri Lon Victor Susse,1900,M,Sailing,FRA,2
Henri Jules Valton,1900,M,Sailing,FRA,2
Robert de Montesquiou-Fzensac,1900,M,Equestrianism,FRA,1
Henri Joseph Marcel Gilardoni,1900,M,Sailing,FRA,1
"Stanley Rupert ""Stan"" Rowley",1900,M,Athletics,AUS,4
Henri Hyacinthe Helle,1900,M,Archery,FRA,1
Henri Franois Peslier,1900,M,Water Polo,FRA,1
Fernand Feyaerts,1900,M,Water Polo,BEL,1
Henri Cohen,1900,M,Water Polo,BEL,1
Henri Alphonse Hazebrouck (Charlet-),1900,M,Rowing,FRA,1
